epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.09210960566997528,0.0010000000474974513,3.8382413387298584,0.2733575403690338,0.16768915951251984,3.2417755126953125,0.49897751212120056
1,0.23803235590457916,0.0010000000474974513,3.13484263420105,0.529217541217804,0.25357872247695923,2.9536514282226562,0.5910020470619202
2,0.3324529528617859,0.0010000000474974513,2.8078136444091797,0.6315615773200989,0.3047034740447998,2.8451087474823,0.6319018602371216
3,0.3935292065143585,0.0010000000474974513,2.601494073867798,0.7028722167015076,0.2985685169696808,2.7677600383758545,0.650306761264801
4,0.4272036850452423,0.0010000000474974513,2.4984800815582275,0.7309343218803406,0.349693238735199,2.682302713394165,0.6789366006851196
5,0.46351930499076843,0.0010000000474974513,2.403604507446289,0.7669197916984558,0.3476482629776001,2.6897566318511963,0.6871165633201599
6,0.4892703890800476,0.0010000000474974513,2.313420057296753,0.7910201549530029,0.3394683003425598,2.653308868408203,0.719836413860321
7,0.5120501518249512,0.0010000000474974513,2.27101993560791,0.7966325283050537,0.3558282256126404,2.6740379333496094,0.7075664401054382
8,0.5262463092803955,0.0010000000474974513,2.2007904052734375,0.8104985356330872,0.3619631826877594,2.6794490814208984,0.7055214643478394
9,0.5344998240470886,0.0010000000474974513,2.1695375442504883,0.8303070068359375,0.3619631826877594,2.6941699981689453,0.7116564512252808
10,0.557279646396637,0.0010000000474974513,2.121919870376587,0.8375701308250427,0.3333333432674408,2.6983489990234375,0.7096114754676819
11,0.5470452308654785,0.0010000000474974513,2.1174490451812744,0.8303070068359375,0.3905930519104004,2.623032569885254,0.6891615390777588
12,0.5764278769493103,0.0010000000474974513,2.0474839210510254,0.8517662882804871,0.3762781322002411,2.6395041942596436,0.7157464027404785
13,0.5734565854072571,0.0010000000474974513,2.0611507892608643,0.8520963788032532,0.3742331266403198,2.613058567047119,0.719836413860321
14,0.5876526832580566,0.0010000000474974513,2.0384554862976074,0.8544073700904846,0.36605316400527954,2.640543222427368,0.7096114754676819
15,0.590293824672699,0.0010000000474974513,2.0159189701080322,0.8702542185783386,0.3762781322002411,2.608980178833008,0.7116564512252808
16,0.6114228963851929,0.0003000000142492354,1.9688419103622437,0.8765268921852112,0.3824130892753601,2.5929441452026367,0.7157464027404785
17,0.626939594745636,0.0003000000142492354,1.9024897813796997,0.8960052728652954,0.38036808371543884,2.6082191467285156,0.7096114754676819
18,0.6526906490325928,0.0003000000142492354,1.8515770435333252,0.905909538269043,0.3762781322002411,2.601433277130127,0.7075664401054382
19,0.6530207991600037,0.0003000000142492354,1.8251128196716309,0.9049190878868103,0.3680981695652008,2.590825080871582,0.7259713411331177
