epoch,accuracy,learning_rate,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.4905909597873688,2.9999999242136255e-05,2.3042898178100586,0.7870949506759644,0.349693238735199,2.6537821292877197,0.7055214643478394
1,0.4862990975379944,2.9999999242136255e-05,2.307734966278076,0.802905261516571,0.3415133059024811,2.7211525440216064,0.699386477470398
2,0.5209640264511108,2.9999999242136255e-05,2.250671625137329,0.8052162528038025,0.3190183937549591,2.7445528507232666,0.6666666865348816
3,0.5259161591529846,2.9999999242136255e-05,2.189505100250244,0.8246946334838867,0.349693238735199,2.6432130336761475,0.7096114754676819
4,0.5411026477813721,2.9999999242136255e-05,2.147092580795288,0.8306371569633484,0.3599182069301605,2.6136422157287598,0.7280163764953613
5,0.5424232482910156,2.9999999242136255e-05,2.152355909347534,0.8322879076004028,0.38036808371543884,2.670292377471924,0.6871165633201599
6,0.5526576638221741,2.9999999242136255e-05,2.110015869140625,0.8418620228767395,0.384458065032959,2.584320068359375,0.7116564512252808
7,0.5836910009384155,2.9999999242136255e-05,2.053560972213745,0.8491251468658447,0.3701431453227997,2.637640953063965,0.7075664401054382
8,0.5652030110359192,2.9999999242136255e-05,2.090996265411377,0.8425222635269165,0.3885480463504791,2.6148078441619873,0.7177914381027222
9,0.5922746658325195,2.9999999242136255e-05,2.0144755840301514,0.8586992621421814,0.3476482629776001,2.749737024307251,0.6912065148353577
10,0.5932651162147522,2.9999999242136255e-05,2.0226833820343018,0.8586992621421814,0.3824130892753601,2.669145345687866,0.6973415017127991
11,0.6048200726509094,2.9999999242136255e-05,1.9924076795578003,0.8643116354942322,0.3885480463504791,2.525757074356079,0.7259713411331177
12,0.6058105230331421,2.9999999242136255e-05,1.9811255931854248,0.8676130771636963,0.3967280089855194,2.6043388843536377,0.7300613522529602
13,0.6285902857780457,2.9999999242136255e-05,1.9277540445327759,0.8864311575889587,0.39263802766799927,2.603198289871216,0.7055214643478394
14,0.6153846383094788,2.9999999242136255e-05,1.9351142644882202,0.8788378834724426,0.42944785952568054,2.5954957008361816,0.7137014269828796
